model,n,events,auc,auc_ci_low,auc_ci_high,brier,ece,max_calibration_error,calibration_intercept,calibration_slope,youden_threshold,youden_sensitivity,youden_specificity,low_threshold,high_threshold,auc_probability_source,auc_calibrated,auc_calibrated_ci_low,auc_calibrated_ci_high,calibration_method,calibration,calibration_brier,brier_raw,calibration_brier_delta,raw_calibration_slope,raw_calibration_intercept,raw_ece,calibration_brier_full
Radiomics signature,9,2,1.0,0.9999999999999999,1.0,0.058129661672216254,0.03521971710018934,0.15848872695085203,133.24518377247142,202.75149204456815,0.35523480749228864,1.0,1.0,0.0,0.09178056680968212,raw_oof,1.0,1.0,1.0,isotonic,isotonic,0.058129661672216254,0.07889121288044487,-0.020761551208228618,54.374581033453545,-16.905936041010925,0.2198943293017398,0.0
Clinical refit,9,2,0.0,0.0,0.0,0.019083678807005677,0.06362647042508514,0.3495420119988558,5.0439434084288814,16.482568392374848,0.6504579880011442,1.0,1.0,6.201857650284229e-13,0.06266301277041476,raw_oof,1.0,1.0,1.0,sigmoid,sigmoid,0.019083678807005677,0.23202811177484162,-0.21294443296783594,-245.9653565280237,-527.1906785050498,0.24628209879456597,8.504362819895411e-07
Radiomics + clinical refit,9,2,0.6428571428571428,0.25,1.0,0.1637882698110157,0.1075337434116749,0.5,458.60689797612474,626.7754261710985,0.2926103400643275,1.0,0.5714285714285714,0.1546393354382981,0.3318659788112788,raw_oof,0.6785714285714286,0.2857142857142857,1.0,isotonic,isotonic,0.1637882698110157,0.1788818646070739,-0.01509359479605818,0.5726785376725894,-0.5310034853915732,0.21982826233026687,0.13333333333333336
Radiomics + D-FRS pre-operative,9,2,0.8571428571428572,0.5,1.0,0.16666666666666666,0.1111111111111111,0.14285714285714285,-3.095554346605165e-16,-5170172402.579311,0.5,0.5,0.8571428571428572,0.0,0.0,raw_oof,0.6785714285714286,0.33333333333333337,1.0,isotonic,isotonic,0.16666666666666666,0.15182487332139324,0.014841793345273413,1.468502066623632,-0.9453937328508053,0.2205378219500927,0.07407407407407408
Radiomics + D-FRS intra-operative,9,2,1.0,0.9999999999999999,1.0,0.06579153137002086,0.050030362857410984,0.27515961452865534,-1.7098926374130992,4.822355365982846,0.5870178293877194,1.0,0.8571428571428572,0.0,0.3624799146891934,raw_oof,0.9285714285714286,0.6666666666666667,1.0,isotonic,isotonic,0.06579153137002086,0.08832186468885124,-0.02253033331883038,36.13658063984862,-29.418798438531496,0.21519859615450007,0.0
Radiomics + DISPAIR,9,2,0.7857142857142857,0.2857142857142857,1.0,0.17283950617283952,0.14814814814814814,0.16666666666666669,-3675903560.3176355,-5303207837.338358,0.3333333333333333,0.5,0.8571428571428572,0.0,0.0,raw_oof,0.6785714285714286,0.33333333333333337,1.0,isotonic,isotonic,0.17283950617283952,0.19308569846478266,-0.020246192291943133,0.6925251576544894,-0.9023173049936445,0.28186234996663184,0.08333333333333333
Radiomics + DISPAIR refined,8,2,0.9166666666666667,0.6,1.0,0.14176942886893742,0.1933543244629199,0.5,0.47711642926210607,0.7957406484702391,0.20426553064275743,1.0,0.6666666666666667,0.007658981493456263,0.2152658671567604,raw_oof,0.8333333333333334,0.4285714285714286,1.0,isotonic,isotonic,0.14176942886893742,0.17990498517089118,-0.038135556301953755,17.562296718901685,-16.914720846959458,0.27675311045520773,0.0625
Radiomics + all scores,9,2,0.5714285714285714,0.16666666666666663,1.0,0.15941425922370037,0.16890048867221213,0.5133063843749162,-104.19136080341049,-411.9217003492835,0.3333333333333333,1.0,0.4285714285714286,0.21333333333333337,0.3811687822210185,raw_oof,0.6071428571428572,0.2142857142857143,1.0,isotonic,isotonic,0.15941425922370037,0.19181797865706718,-0.03240371943336681,0.8105621613576799,-0.9222643290377422,0.2299449761745735,0.13333333333333336
D-FRS pre-operative,9,2,0.8571428571428572,0.5,1.0,0.18712501140845583,0.316002110175863,0.6436879284613868,-1.2156212778756517,2.0059357934438857,0.4407274372210775,1.0,0.7142857142857143,0.38002619910459706,0.465216466852342,precomputed,0.8571428571428572,0.5,1.0,precomputed,precomputed,0.18712501140845583,0.18712501140845583,0.0,,,,0.18712501140845583
D-FRS intra-operative,9,2,0.7142857142857142,0.2857142857142857,1.0,0.17616547605722138,0.20750306930489126,0.7325935816959861,0.5660138317725987,0.6599487025668804,0.04135823195482268,1.0,0.5714285714285714,0.021604608544571396,0.05412092346993064,precomputed,0.7142857142857142,0.2857142857142857,1.0,precomputed,precomputed,0.17616547605722138,0.17616547605722138,0.0,,,,0.17616547605722138
DISPAIR-FRS,10,2,0.4375,0.0,0.888888888888889,0.19510740265617593,0.19867556712567075,0.20746185246318252,13701.818330575945,6361.566993911155,0.028085623542210707,0.5,0.75,0.012110762812360502,0.015487664672963433,precomputed,0.4375,0.0,0.888888888888889,precomputed,precomputed,0.19510740265617593,0.19510740265617593,0.0,,,,0.19510740265617593
DISPAIR-FRS refined,8,2,0.8333333333333334,0.5,1.0,0.18844642995383612,0.23430886515957322,0.3551458355955754,3.263061934548201,2.3411931134054234,0.14650334692929862,1.0,0.8333333333333334,0.09756865814951762,0.14546865655487157,precomputed,0.8333333333333334,0.5,1.0,precomputed,precomputed,0.18844642995383612,0.18844642995383612,0.0,,,,0.18844642995383612
