risk_group,n,events,event_rate,event_rate_pct,threshold_low,threshold_high,model
Low,6,0,0.0,0.0,0.0,0.09178056680968212,Radiomics signature
Intermediate,0,0,0.0,0.0,0.0,0.09178056680968212,Radiomics signature
High,3,2,0.6666666666666666,66.66666666666666,0.0,0.09178056680968212,Radiomics signature
Low,3,0,0.0,0.0,6.201857650284229e-13,0.06266301277041476,Clinical refit
Intermediate,3,0,0.0,0.0,6.201857650284229e-13,0.06266301277041476,Clinical refit
High,3,2,0.6666666666666666,66.66666666666666,6.201857650284229e-13,0.06266301277041476,Clinical refit
Low,3,0,0.0,0.0,0.1546393354382981,0.3318659788112788,Radiomics + clinical refit
Intermediate,3,1,0.3333333333333333,33.33333333333333,0.1546393354382981,0.3318659788112788,Radiomics + clinical refit
High,3,1,0.3333333333333333,33.33333333333333,0.1546393354382981,0.3318659788112788,Radiomics + clinical refit
Low,7,1,0.14285714285714285,14.285714285714285,0.0,0.0,Radiomics + D-FRS pre-operative
Intermediate,0,0,0.0,0.0,0.0,0.0,Radiomics + D-FRS pre-operative
High,2,1,0.5,50.0,0.0,0.0,Radiomics + D-FRS pre-operative
Low,5,0,0.0,0.0,0.0,0.3624799146891934,Radiomics + D-FRS intra-operative
Intermediate,1,0,0.0,0.0,0.0,0.3624799146891934,Radiomics + D-FRS intra-operative
High,3,2,0.6666666666666666,66.66666666666666,0.0,0.3624799146891934,Radiomics + D-FRS intra-operative
Low,7,1,0.14285714285714285,14.285714285714285,0.0,0.0,Radiomics + DISPAIR
Intermediate,0,0,0.0,0.0,0.0,0.0,Radiomics + DISPAIR
High,2,1,0.5,50.0,0.0,0.0,Radiomics + DISPAIR
Low,3,0,0.0,0.0,0.007658981493456263,0.2152658671567604,Radiomics + DISPAIR refined
Intermediate,2,1,0.5,50.0,0.007658981493456263,0.2152658671567604,Radiomics + DISPAIR refined
High,3,1,0.3333333333333333,33.33333333333333,0.007658981493456263,0.2152658671567604,Radiomics + DISPAIR refined
Low,3,0,0.0,0.0,0.21333333333333337,0.3811687822210185,Radiomics + all scores
Intermediate,3,1,0.3333333333333333,33.33333333333333,0.21333333333333337,0.3811687822210185,Radiomics + all scores
High,3,1,0.3333333333333333,33.33333333333333,0.21333333333333337,0.3811687822210185,Radiomics + all scores
Low,3,0,0.0,0.0,0.38002619910459706,0.465216466852342,D-FRS pre-operative
Intermediate,3,1,0.3333333333333333,33.33333333333333,0.38002619910459706,0.465216466852342,D-FRS pre-operative
High,3,1,0.3333333333333333,33.33333333333333,0.38002619910459706,0.465216466852342,D-FRS pre-operative
Low,3,0,0.0,0.0,0.021604608544571396,0.05412092346993064,D-FRS intra-operative
Intermediate,3,1,0.3333333333333333,33.33333333333333,0.021604608544571396,0.05412092346993064,D-FRS intra-operative
High,3,1,0.3333333333333333,33.33333333333333,0.021604608544571396,0.05412092346993064,D-FRS intra-operative
Low,3,1,0.3333333333333333,33.33333333333333,0.012110762812360502,0.015487664672963433,DISPAIR-FRS
Intermediate,3,0,0.0,0.0,0.012110762812360502,0.015487664672963433,DISPAIR-FRS
High,4,1,0.25,25.0,0.012110762812360502,0.015487664672963433,DISPAIR-FRS
Low,3,0,0.0,0.0,0.09756865814951762,0.14546865655487157,DISPAIR-FRS refined
Intermediate,2,0,0.0,0.0,0.09756865814951762,0.14546865655487157,DISPAIR-FRS refined
High,3,2,0.6666666666666666,66.66666666666666,0.09756865814951762,0.14546865655487157,DISPAIR-FRS refined
