iteration,strategy,constraint,selected_threshold,in_bag_sensitivity,in_bag_specificity,in_bag_mcc,n_oob,events_oob,oob_threshold,oob_tp,oob_fp,oob_tn,oob_fn,oob_sensitivity_rule_out,oob_specificity_rule_in,oob_positive_predictive_value,oob_negative_predictive_value,oob_balanced_accuracy,oob_f1_score,oob_mcc
0,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.20207352233271314,0.9166666666666666,0.6792452830188679,0.46690741863672425,68,13,0.20207352233271314,8,20,35,5,0.6153846153846154,0.6363636363636364,0.2857142857142857,0.875,0.6258741258741258,0.3902439024390244,0.20114557032045338
0,Rule-in,in-bag specificity >=90%; maximize MCC,0.49120365076940925,0.25,1.0,0.4622874402569843,68,13,0.49120365076940925,2,1,54,11,0.15384615384615385,0.9818181818181818,0.6666666666666666,0.8307692307692308,0.5678321678321678,0.25,0.25977742504157986
1,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.0636262294845324,0.9444444444444444,0.41509433962264153,0.29271113320924275,71,14,0.0636262294845324,11,32,25,3,0.7857142857142857,0.43859649122807015,0.2558139534883721,0.8928571428571429,0.6121553884711779,0.38596491228070173,0.18261579649672782
1,Rule-in,in-bag specificity >=90%; maximize MCC,0.4662907115555247,0.4166666666666667,1.0,0.6066758241067098,71,14,0.4662907115555247,3,2,55,11,0.21428571428571427,0.9649122807017544,0.6,0.8333333333333334,0.5895989974937343,0.3157894736842105,0.2786619179123149
2,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.08025028437530635,0.9444444444444444,0.42138364779874216,0.29683632549920097,74,14,0.08025028437530635,14,38,22,0,1.0,0.36666666666666664,0.2692307692307692,1.0,0.6833333333333333,0.42424242424242425,0.31419412584889095
2,Rule-in,in-bag specificity >=90%; maximize MCC,0.3470706456462939,0.3611111111111111,0.9182389937106918,0.3188369345103139,74,14,0.3470706456462939,7,4,56,7,0.5,0.9333333333333333,0.6363636363636364,0.8888888888888888,0.7166666666666667,0.56,0.4770842982214229
3,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.07929523149371433,1.0,0.44654088050314467,0.360056802173262,68,11,0.07929523149371433,9,27,30,2,0.8181818181818182,0.5263157894736842,0.25,0.9375,0.6722488038277512,0.3829787234042553,0.25415212262620723
3,Rule-in,in-bag specificity >=90%; maximize MCC,0.3624467917809517,0.5833333333333334,0.9245283018867925,0.525509706356521,68,11,0.3624467917809517,6,11,46,5,0.5454545454545454,0.8070175438596491,0.35294117647058826,0.9019607843137255,0.6762360446570972,0.42857142857142855,0.2997429343419657
4,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.2329392029339203,0.9166666666666666,0.7484276729559748,0.5332019375355954,74,13,0.2329392029339203,5,20,41,8,0.38461538461538464,0.6721311475409836,0.2,0.8367346938775511,0.5283732660781841,0.2631578947368421,0.04565705298611367
4,Rule-in,in-bag specificity >=90%; maximize MCC,0.4204360123892431,0.6944444444444444,0.9748427672955975,0.7298091372778203,74,13,0.4204360123892431,1,3,58,12,0.07692307692307693,0.9508196721311475,0.25,0.8285714285714286,0.5138713745271122,0.11764705882352941,0.04668819364345836
