bin,n,events,mean_predicted,observed,observed_ci_low,observed_ci_high,model
0,33,0,0.009981489621486433,0.0,0.0,0.10426999754245206,7-rad
1,32,2,0.04380645003039256,0.0625,0.017310567031640967,0.2014712314415458,7-rad
2,33,3,0.0955957575976779,0.09090909090909091,0.03140394152458165,0.2357260564646973,7-rad
3,32,6,0.2044399102837327,0.1875,0.08889544689565954,0.3530915520137596,7-rad
4,32,5,0.29538298256725837,0.15625,0.0686442028250571,0.3175414959753039,7-rad
5,33,20,0.4581864257416293,0.6060606060606061,0.43683440819940234,0.7531689256552291,7-rad
0,33,0,0.007275964265206824,0.0,0.0,0.10426999754245206,7-rad + MPD/thickness
1,32,1,0.03434549637681499,0.03125,0.005537860164003122,0.15744263820012558,7-rad + MPD/thickness
2,33,4,0.08702437534450283,0.12121212121212122,0.04816161309413558,0.2732550517107523,7-rad + MPD/thickness
3,32,7,0.1955329807930658,0.21875,0.11023836252604186,0.3875499364924353,7-rad + MPD/thickness
4,32,5,0.2893613301341506,0.15625,0.0686442028250571,0.3175414959753039,7-rad + MPD/thickness
5,33,19,0.4931290082747708,0.5757575757575758,0.4080726333731245,0.7276440336658979,7-rad + MPD/thickness
0,33,0,0.005872777049007106,0.0,0.0,0.10426999754245206,7-rad + DISPAIR-FRS 2025 covariates
1,32,1,0.030435525982638073,0.03125,0.005537860164003122,0.15744263820012558,7-rad + DISPAIR-FRS 2025 covariates
2,33,3,0.08196602976251811,0.09090909090909091,0.03140394152458165,0.2357260564646973,7-rad + DISPAIR-FRS 2025 covariates
3,32,6,0.16875780059023737,0.1875,0.08889544689565954,0.3530915520137596,7-rad + DISPAIR-FRS 2025 covariates
4,32,8,0.28715615623320023,0.25,0.1325240091850904,0.4210655899424448,7-rad + DISPAIR-FRS 2025 covariates
5,33,18,0.5316020476664636,0.5454545454545454,0.37985938536217456,0.7015706148612388,7-rad + DISPAIR-FRS 2025 covariates
0,33,7,0.0990276538658504,0.21212121212121213,0.10676021533020799,0.3775164499215069,Preoperative DP-FRS (published)
1,32,6,0.16070228614262255,0.1875,0.08889544689565954,0.3530915520137596,Preoperative DP-FRS (published)
2,33,7,0.2169466438179722,0.21212121212121213,0.10676021533020799,0.3775164499215069,Preoperative DP-FRS (published)
3,32,1,0.2840409187205039,0.03125,0.005537860164003122,0.15744263820012558,Preoperative DP-FRS (published)
4,32,8,0.36011170114143515,0.25,0.1325240091850904,0.4210655899424448,Preoperative DP-FRS (published)
5,33,7,0.6167954626824097,0.21212121212121213,0.10676021533020799,0.3775164499215069,Preoperative DP-FRS (published)
0,33,5,0.1536458362015829,0.15151515151515152,0.06650457281607568,0.3091987588044212,DISPAIR-FRS 2025 (published; all-neck)
1,32,7,0.2569111466035044,0.21875,0.11023836252604186,0.3875499364924353,DISPAIR-FRS 2025 (published; all-neck)
2,33,9,0.3235704505179244,0.2727272727272727,0.1506744088542064,0.44217559002872625,DISPAIR-FRS 2025 (published; all-neck)
3,32,3,0.39078870059966553,0.09375,0.032401551298366194,0.24218154728387864,DISPAIR-FRS 2025 (published; all-neck)
4,32,8,0.48113444992008136,0.25,0.1325240091850904,0.4210655899424448,DISPAIR-FRS 2025 (published; all-neck)
5,33,4,0.6381621274048254,0.12121212121212122,0.04816161309413558,0.2732550517107523,DISPAIR-FRS 2025 (published; all-neck)
