reference,alternative,delta_auc_alternative_minus_reference,delong_z,delong_p
7-rad,7-rad + MPD/thickness,0.0015723270440252124,-0.14247661968223768,0.8867035457501281
7-rad,7-rad + DISPAIR-FRS 2025 covariates,0.021837875611460555,-1.0650074122265591,0.286872575520688
7-rad,Preoperative DP-FRS (published),-0.3194444444444444,4.397591850205302,1.0945856808927562e-05
7-rad,DISPAIR-FRS 2025 (published; all-neck),-0.35045422781271846,5.609490909326143,2.0292265568138183e-08
7-rad + MPD/thickness,7-rad + DISPAIR-FRS 2025 covariates,0.020265548567435343,-1.1654671035181985,0.24382996865988016
7-rad + MPD/thickness,Preoperative DP-FRS (published),-0.32101677148846963,4.379871302454541,1.1874942104967708e-05
7-rad + MPD/thickness,DISPAIR-FRS 2025 (published; all-neck),-0.35202655485674367,5.286880924899552,1.2441957129288674e-07
7-rad + DISPAIR-FRS 2025 covariates,Preoperative DP-FRS (published),-0.341282320055905,4.975684715550425,6.501739990204401e-07
7-rad + DISPAIR-FRS 2025 covariates,DISPAIR-FRS 2025 (published; all-neck),-0.372292103424179,5.857613438203269,4.695660680494253e-09
Preoperative DP-FRS (published),DISPAIR-FRS 2025 (published; all-neck),-0.031009783368274035,0.6359369518221836,0.524817516758949
